class,precision,recall,f1-score,support
Apple___Apple_scab,0.9894736842105263,1.0,0.9947089947089947,94
Apple___Black_rot,0.9893617021276596,1.0,0.9946524064171123,93
Apple___Cedar_apple_rust,1.0,1.0,1.0,41
Apple___healthy,0.9959677419354839,1.0,0.997979797979798,247
Blueberry___healthy,1.0,0.9911111111111112,0.9955357142857143,225
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,158
Cherry_(including_sour)___healthy,0.9921875,0.9921875,0.9921875,128
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9102564102564102,0.922077922077922,0.9161290322580645,77
Corn_(maize)___Common_rust_,1.0,0.9888268156424581,0.9943820224719101,179
Corn_(maize)___Northern_Leaf_Blight,0.9463087248322147,0.9527027027027027,0.9494949494949495,148
Corn_(maize)___healthy,1.0,1.0,1.0,174
Grape___Black_rot,0.9943820224719101,1.0,0.9971830985915493,177
Grape___Esca_(Black_Measles),1.0,0.9951690821256038,0.9975786924939467,207
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,161
Grape___healthy,1.0,1.0,1.0,63
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,826
Peach___Bacterial_spot,0.9942028985507246,0.9942028985507246,0.9942028985507246,345
Peach___healthy,0.9818181818181818,1.0,0.9908256880733946,54
"Pepper,_bell___Bacterial_spot",0.9868421052631579,1.0,0.9933774834437086,150
"Pepper,_bell___healthy",0.9865470852017937,0.990990990990991,0.9887640449438202,222
Potato___Early_blight,1.0,1.0,1.0,150
Potato___Late_blight,0.9930555555555556,0.9533333333333334,0.9727891156462585,150
Potato___healthy,1.0,1.0,1.0,23
Raspberry___healthy,1.0,1.0,1.0,56
Soybean___healthy,1.0,0.9960732984293194,0.9980327868852459,764
Squash___Powdery_mildew,1.0,0.9963636363636363,0.9981785063752276,275
Strawberry___Leaf_scorch,1.0,0.9939759036144579,0.9969788519637462,166
Strawberry___healthy,1.0,1.0,1.0,68
Tomato___Bacterial_spot,0.9606060606060606,0.9937304075235109,0.9768875192604006,319
Tomato___Early_blight,0.9859154929577465,0.9333333333333333,0.958904109589041,150
Tomato___Late_blight,0.9689655172413794,0.9825174825174825,0.9756944444444444,286
Tomato___Leaf_Mold,1.0,1.0,1.0,143
Tomato___Septoria_leaf_spot,0.9885496183206107,0.9736842105263158,0.9810606060606061,266
Tomato___Spider_mites Two-spotted_spider_mite,0.9704641350210971,0.9163346613545816,0.9426229508196722,251
Tomato___Target_Spot,0.9009009009009009,0.9478672985781991,0.9237875288683602,211
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9751243781094527,0.9874055415617129,804
Tomato___Tomato_mosaic_virus,0.9824561403508771,1.0,0.9911504424778761,56
Tomato___healthy,0.9053030303030303,1.0,0.9502982107355865,239
